V,x_axis,metric,run,size,seed,x,y,y_hat,residual_linear,residual_log
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed9,S,9,983040000.0,1.6170826525581872,1.6475972844545237,-0.03051463189633652,-0.06854373814777748
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed7,TINY,7,983040000.0,1.6563237170327862,1.6475972844545237,0.008726432578262555,0.018767894274596353
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed8,TINY,8,983040000.0,1.6550368625332643,1.6475972844545237,0.007439578078740627,0.016022306743758707
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed9,TINY,9,983040000.0,1.650386678956068,1.6475972844545237,0.002789394501544251,0.006037523445956983
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed7,XS,7,983040000.0,1.6305860986503737,1.6475972844545237,-0.017011185804149953,-0.0376305808347186
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed8,XS,8,983040000.0,1.6239929578085424,1.6475972844545237,-0.023604326645981333,-0.0526047671850326
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed9,XS,9,983040000.0,1.624923766216901,1.6475972844545237,-0.02267351823762276,-0.050477094888881635
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed7,XXS,7,983040000.0,1.7889285365985723,1.6475972844545237,0.14133125214404862,0.26760488041821007
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed8,XXS,8,983040000.0,1.7832841064252671,1.6475972844545237,0.13568682197074344,0.25818369521941753
512,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed9,XXS,9,983040000.0,1.7981957301059746,1.6475972844545237,0.15059844565145086,0.28288292177456215
1024,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_scaling_L\L_V1024_B4x8_S20000_seed7,L,7,655360000.0,1.51265576452413,1.492636060409935,0.02001970411419518,0.013323165546356264
1024,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census50k\M_V1024_B4x8_S30000_seed7,M,7,983040000.0,1.4673643254506321,1.4833905665303462,-0.016026241079714065,-0.010862575341907321
1024,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_long_M\M_V1024_B4x8_S40000_seed7,M,7,1310720000.0,1.4954205019552078,1.476865535325028,0.01855496663017986,0.012485479147670286
1024,tokens_seen,best_val_gauss_nll,runs\sweep_smoke\S_V1024_B4x4_S30_seed1,S,1,491520.0,1.7414486557770448,1.666634576481831,0.07481407929521366,0.0439109581616256
1024,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census50k\S_V1024_B4x8_S30000_seed7,S,7,983040000.0,1.4793950969533625,1.4833905665303462,-0.003995469576983712,-0.0026971049902617117
1024,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_long_S\S_V1024_B4x8_S60000_seed7,S,7,1966080000.0,1.4845407621407243,1.4677177251990465,0.01682303694167775,0.011396846926613524
1024,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_scaling\S_V1024_B8x8_S400_seed7,S,7,26214400.0,1.6500972176545081,1.5681078035495273,0.08198941410498084,0.05096453413878088
1024,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_scaling_XL\XL_V1024_B2x16_S20000_seed7,XL,7,655360000.0,1.5339363176509742,1.492636060409935,0.04130025724103925,0.02729346328283716
1024,tokens_seen,best_val_gauss_nll,runs\sweep_smoke\XS_V1024_B4x4_S30_seed1,XS,1,491520.0,1.7322418186428803,1.666634576481831,0.06560724216104918,0.038610049078897424
1024,tokens_seen,best_val_gauss_nll,runs\sweep_20250821_212937\XS_seed1,XS,1,61440000.0,1.4647364013280293,1.5477735037442688,-0.08303710241623952,-0.05514215360628599
1024,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_scaling_XSSM\XS_V1024_B4x8_S20000_seed7,XS,7,655360000.0,1.5048888354261707,1.492636060409935,0.012252775016235784,0.008175307085316552
1024,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_census50k\XS_V1024_B4x8_S30000_seed7,XS,7,983040000.0,1.4933667509347646,1.4833905665303462,0.009976184404418387,0.006702744423054463
1024,tokens_seen,best_val_gauss_nll,runs\sweep_gpu_scaling\XS_V1024_B8x8_S400_seed7,XS,7,26214400.0,1.639220353574948,1.5681078035495273,0.07111255002542083,0.04435106281024315
1024,tokens_seen,best_val_gauss_nll,runs\bench_cpu_xs_300,XS,7,9830400.0,1.508014581305428,1.5918547836204613,-0.08384020231503331,-0.05410592810322551
1024,tokens_seen,best_val_gauss_nll,runs\demo_xs,XS,7,1966080000.0,1.477686894622551,1.4677177251990465,0.009969169423504454,0.006769329704431948
1024,tokens_seen,best_val_gauss_nll,runs\smoke_xs,XS,7,204800.0,1.6309778334835703,1.6891442225916693,-0.058166389108099015,-0.035042290723502956
1024,tokens_seen,best_val_gauss_nll,runs\cpu_parallel_xs_D10kV1024_S3000_seed11,XS,11,98304000.0,1.457763116868472,1.5366659914596918,-0.07890287459121992,-0.05271197984023657
1024,tokens_seen,best_val_gauss_nll,runs\cpu_seq_small_D10kV1024\XS_B32_S3000_seed12,XS,12,98304000.0,1.456478668207469,1.5366659914596918,-0.08018732325222278,-0.05359347755998839
1024,tokens_seen,best_val_gauss_nll,runs\cpu_seq_small_D10kV1024\XS_B32_S3000_seed13,XS,13,98304000.0,1.4658438535388936,1.5366659914596918,-0.07082213792079828,-0.04718404306223767
1024,tokens_seen,best_val_gauss_nll,runs\cpu_seq_small_D10kV1024\XXS_B64_S3000_seed21,XXS,21,196608000.0,1.5941648232910155,1.520430265814163,0.07373455747685242,0.04735661292181875
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed7,L,7,983040000.0,1.468128463435173,1.556735132780716,-0.08860666934554295,-0.37721491213215375
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed8,L,8,983040000.0,1.4761887468099595,1.556735132780716,-0.08054638597075647,-0.33637753650186264
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed9,L,9,983040000.0,1.4851830107688904,1.556735132780716,-0.07155212201182559,-0.2926942443833003
